,name,rank,target,type,base_damage,upgraded_damage,base_crit,upgraded_crit,base_self,upgraded_self,base_cooldown,upgraded_cooldown,base_effect,upgraded_effect,target_restriction,notes,hero_id,base_uses,upgraded_uses,path_name,skill_name,hero_name
293,Hand of Light,.ooo,ooo.,melee,2-3,3-4,0.05,0.0,{{Strength}}{{Block}}," {{Strength}}{{Block}}<br /> <span class""buff-dd2"">Random Adjacent Ally:</span> {{Strength}} }}",0,0,,,,,Vest,inf,inf,Wanderer,Hand of Light,Vestal
294,Hand of Light (Confessor),.oo.,o-o..,melee,1-2,2-3,0.05,0.0,{{Strength}},,0,0,,{{Weak}} }},,,Vest,inf,inf,Confessor,Hand of Light,Vestal
295,Hand of Light (Chaplain),..oo,ooo.,melee,2-3,3-4,0.05,0.0,{{Strength}}{{Block}}," {{Strength}}{{Block}}<br /> <span class""buff-dd2"">Random Adjacent Ally:</span> {{Block}} }}",0,0,,,,,Vest,inf,inf,Chaplain,Hand of Light,Vestal
296,Illumination,oooo,oooo,ranged,,,0.05,0.0,,,0,0,  Ignore {{Stealth2}}{{Dodge}}<br /> {{Daze2}}<br> Remove {{Stealth2}}{{Dodge}}, {{Daze2}}<br /> Ignore {{Stealth2}}{{Dodge}}<br /> Remove {{Stealth2}}{{Dodge}}<br /> {{Debuff2}} Cannot Gain {{Dodge}} (2 Rounds) }},,,Vest,inf,inf,Wanderer,Illumination,Vestal
297,Illumination (Confessor),ooo.,oooo,ranged,,,0.0,0.0,,,1,0," Ignore {{Stealth2}}{{Dodge}}<br /> Remove {{Stealth2}}<br /> Remove 2 <span class""buff-dd2"">Positive</span> Tokens"," Ignore {{Stealth2}}{{Dodge}}<br /> Remove {{Stealth2}}<br /> Remove 3 <span class""buff-dd2"">Positive</span> Tokens }}",,,Vest,inf,inf,Confessor,Illumination,Vestal
298,Judgement,oo..,oooo,ranged,3-5,4-7,0.05,0.0,,,0,0," {{Conviction}}{{Conviction}}: Deals <span class""buff-dd2"">+100%</span> DMG<br /> {{Conviction}}{{Conviction}}{{Conviction}}: {{Burn2|3}}"," {{Conviction}}{{Conviction}}: Deals <span class""buff-dd2"">+100%</span> DMG<br /> {{Conviction}}{{Conviction}}{{Conviction}}: {{Burn2|4}} }}",,,Vest,inf,inf,Wanderer,Judgement,Vestal
299,Judgement (Confessor),oo..,oooo,ranged,4-6,5-8,0.05,0.1,,,0,0," {{Conviction}}{{Conviction}}: {{Weak|2}}<br /> {{Conviction}}{{Conviction}}{{Conviction}}: {{Vuln}}, {{Daze2}}"," {{Conviction}}{{Conviction}}: {{Weak|2}}<br /> {{Conviction}}{{Conviction}}{{Conviction}}: {{Vuln|2}}, {{StunToken}} }}",,,Vest,inf,inf,Confessor,Judgement,Vestal
300,Divine Grace,oo..,oooo,heal,,,0.0,0.0,,,2,0," Requires {{HP2}} < 33%<br /> <span class""heal-dd2"">Heal 20%</span><br /> {{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10%</span> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10%</span>"," Requires {{HP2}} < 33%<br /> <span class""heal-dd2"">Heal 30%</span><br /> {{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10% Healed</span> {{Conviction}}{{Conviction}}{{Conviction}}: <span class""heal-dd2"">+10% Healed</span>, <span class""buff-dd2"">+10%</span> CRIT }}",,,Vest,inf,inf,Wanderer,Divine Grace,Vestal
301,Consecration of Fortitude,oooo,oooo,buff,,,0.0,0.0,,,3,0,{{ConFort}},{{ConFort+}} }},,,Vest,inf,inf,Wanderer,Consecration of Fortitude,Vestal
302,Consecration of Fortitude (Seraph),oooo,oooo,buff,,,0.0,0.0,,,5,0,{{ConFort}},{{ConFort+}} }},,,Vest,inf,inf,Seraph,Consecration of Fortitude,Vestal
303,Ministrations,oo..,oooo,buff,,,0.0,0.0,,,1,0,Remove {{DoT2}}{{Daze2}}{{StunToken}}," Remove {{DoT2}}{{Daze2}}{{StunToken}}<br /> <span class""buff-dd2"">+30%</span> RES per Token type removed }}",,,Vest,inf,inf,Wanderer,Ministrations,Vestal
